Muestra,Na+,K+,Ca++,Mg++,Cl-,HCO3-,SO4--,Dureza total,CE,pH,Caudal,SDT,RAS,IWQI
57.0,200.4372335,4.327982939,149.8188385,23.14411755,260.608019,127.5500904,367.6800332,469.9150181,1788.968274,8.33861396,18.08,1160.174171,4.029070568,59.73517431461897
58.0,207.0,5.0,174.0,13.0,313.0,132.0,390.0,489.0,1850.0,8.2,12.571,1115.0,4.1,56.459719779576325
59.0,198.0,4.0,161.0,21.0,305.0,138.0,369.0,489.0,1730.0,8.2,14.589,1090.0,3.9,57.934682641823855
60.0,166.0,5.0,157.0,19.0,310.0,161.0,320.0,469.0,1650.0,8.2,13.289,1140.0,3.3,60.28583438239319
61.0,215.0,5.0,161.0,23.0,295.0,124.0,416.0,499.0,1650.0,8.3,11.15,1272.0,4.2,58.109036450091224
62.0,198.0,5.0,153.0,24.0,226.0,93.0,455.0,480.0,1620.0,8.2,55.763,1196.0,3.9,62.73978016987955
63.0,199.0,4.0,154.0,22.0,265.0,126.0,334.0,474.0,1530.0,8.2,65.572,1100.0,4.0,60.62234671679399
64.0,211.0,4.0,150.0,16.0,256.0,98.0,401.0,441.0,1520.0,8.2,58.435,1145.0,4.4,60.87074579358387
65.0,166.0,4.0,135.0,19.0,219.0,105.0,312.0,417.0,1560.0,8.2,65.147,993.0,3.5,65.55059195568417
66.0,162.0,4.0,126.0,6.0,186.0,137.0,221.0,340.0,1320.0,8.0,75.55,770.0,3.8,67.04175314473156
67.0,130.0,5.0,73.0,39.0,207.0,120.0,251.0,342.0,1330.0,8.3,71.728,766.0,3.0,69.76201534018062
